,Unnamed: 0,Album,Type of Album,Year of Release,Title,Duration(minutes:seconds),Lyrics,Positive,Negative,Neutral,Compound
0,0,Backstreet Boys,Studio albums,1996-05-06 00:00:00,We've Got It Goin' On,03:41:00,"Everybody groove to the music
Everybody jam

We've been waiting so long
Just can't hold it back no more
Creepin' up and down, now
It's time for me to let it go
If you really wanna see what we can do for you
Send the crazy wildin' static sing it

Jam on 'cause Backstreets' got it
Come on now, everybody
We've got it goin' on for years
Jam on 'cause Backstreets' got it
Come on now, everybody
We've got it goin' on for years
We've got it goin' on for years

Well I'm creepin' up on your left straight up funky when I get with you
I get ruthless when I get wet keep the party packed in my corner
Tough like granite to keep the crowd hype get up on this just to get right
What you want is what you gonna get Backstreets' got the special effects
If you really wanna see what we can do for you
Send the crazy wildin' static sing it

Jam on 'cause Backstreets' got it
Come on now, everybody
We've got it goin' on for years
Jam on 'cause Backstreets' got it
Come on now, everybody
We've got it goin' on for years
We've got it goin' on for years

We've been waiting so long just can't hold it back no more
Creepin' up and down now it's time for me to let it go
Time for me to let it go

Everybody groove to the music
Everybody jam

Jam on 'cause Backstreets' got it
Come on now, everybody
We've got it goin' on for years
Jam on 'cause Backstreets' got it
Come on now, everybody
We've got it goin' on for years
We've got it goin' on for years
We've got it goin' on",4.4,4,91.7,27.32
1,1,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Anywhere for You,04:42:00,"I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to

I'd walk halfway around the world
For just one kiss from you
Far beyond the call of love
The sun, the stars, the moon
As long as your love's there to lead me
I won't lose my way, believe me
Even through the darkest night, you know

I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you

I used to think that dreams were just
For sentimental fools
And I'd never find someone
Who'd give their love so true
But I knew the very minute
Couldn't live my life without you in it
And now I want the whole wide world to know

I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you

Hey baby, hey baby, hey baby, ooh
Hey baby, hey baby

I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you
For you",18.9,1.2,79.9,99.5
2,2,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Get Down (You're the One for Me),03:52:00,"You're the one for me
You're my ecstasy
You're the one I need

Get down
Get down
And move it all around
Get down
Get down
And move it all around

Hey baby love I need a girl like you
But tell me if you feel it too
I'm in delusion every minute every hour
My heart is crying out for you

I feel in heaven when I look in your eyes
I know that you are the one for me (one for me)
You drive me crazy 'cause
You're one of a kind
I want your lovin'
And I want it right now

Get down
Get down
And move it all around
Get down
Get down
And move it all around

Get down
Get down
And move it all around
Get down
Get down
And move it all around

Ooh baby you're so fine
I'm gonna make you mine
Your lips they taste so sweet
You're the one for me
You're my ecstasy
You're the one I need

Smooth T.:
Bang, bang, bang
Here we come
Here we slam
It's the fun factory
With the bsbs
Yo you girls
Get on your knees
Tryin' to scream
Or touch me please
Backstreet boys
Are you with it (Yeah)
A.J. hit it!

Come on girl and get down
Spike it up
Flip it
And move it all around
Here it is if you wanna get with this
Put you at the top of my list, oh

I feel in heaven when I look in your eyes
I know that you are the one for me (one for me)
You drive me crazy 'cause
You're one of a kind
I want your lovin'
And I want it right now

Get down
Get down
And move it all around
Get down
Get down
And move it all around

Get down
Get down
And move it all around
Get down
Get down
And move it all around

Ooh baby you're so fine
I'm gonna make you mine
Your lips they taste so sweet
You're the one for me
You're my ecstasy
You're the one I need

I feel in heaven when I look in your eyes
I know that you are the one for me (one for me)
You drive me crazy cause
You're one of a kind
I want your lovin' baby
And I want it right now

You're the one for me
You're my ecstasy
You're the one I need

Get down, (get down)
Get down, (get down)
And move it all around
Get down, (get down)
Get down, (get down)
And move it all around

Get down, (get down)
Get down, (get down)
And move it all around
Get down, (get down)
Get down, (get down)
And move it all around

Get down, (get down)
Get down, (get down)
And move it all around
Get down, (get down)
Get down, (get down)
Get down, get down, yeah",16.4,3.8,79.9,99.67
3,3,Backstreet Boys,Studio albums,1996-05-06 00:00:00,I'll Never Break Your Heart,04:48:00,"Baby, I know you're hurting. Right now you feel like you could never love again. Now all I ask is for a chance to prove that I love you.

From the first day that I saw your smiling face
Honey, I knew that we would be together forever
Ooh, when I asked you out
You said no, but I found out
Darling, that you'd been hurt
You felt that you'd never love again

I deserve a try, honey, just once
Give me a chance and I'll prove this all wrong
You walked in, you were so quick to judge
But honey, he's nothing like me

I'll never break your heart
I'll never make you cry
I'd rather die than live without you
I'll give you all of me
Honey, that's no lie
I'll never break your heart
I'll never make you cry
I'd rather die than live without you
I'll give you all of me
Honey, that's no lie

As time goes by, you will get to know me
A little more better
Girl, that's the way love goes, baby baby
And I know you're afraid
To let your feelings show
And I understand
But girl, it's time to let go

I deserve a try, honey, just once
Give me a chance and I'll prove this all wrong
You walked in, you were so quick to judge
But honey, he's nothing like me
Darling, why can't you see?

I'll never break your heart
I'll never make you cry
I'd rather die than live without you
I'll give you all of me
Honey, that's no lie
I'll never break your heart
I'll never make you cry
I'd rather die than live without you
I'll give you all of me
Honey, that's no lie

I'll never break your heart
No way, no how
I'll never make you cry
Oh I, oh I, I swear
No way, no how
Honey I swear, 'cause I know how

I'll never break your heart
I'll never make you cry
I'd rather die than live without you
I'll give you all of me
Honey, that's no lie
I'll never break your heart
I'll never make you cry
I'd rather die than live without you
I'll give you all of me
Honey, that's no lie",11.6,20.2,68.2,-99.13
4,4,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Quit Playin' Games (with My Heart),03:53:00,"Even in my heart I see
You're not bein' true to me
Deep within my soul I feel
Nothing's like it used to be

Sometimes I wish I could turn back time
Impossible as it may seem
But I wish I could so bad, baby

Quit playin' games with my heart
With my heart
With my heart

I should've known from the start
With my heart
With my heart
With my heart

I live my life the way
To keep you comin' back to me
Everything I do is for you
So what is it that you can't see?

Sometimes I wish I could turn back time
Impossible as it may seem
But I wish I could so bad, baby

Quit playin' games with my heart
With my heart
With my heart

I should've known from the start
With my heart
With my heart
Quit playin' games

Baby, baby, the love that we had was so strong
Don't leave me hangin' here forever
Oh, baby, baby, this is not a lie
Let's stop this tonight

Baby
Quit playin' games

Nanana...

Sometimes I wish I could turn back time
Impossible as it may seem
But I wish I could so bad, baby

Quit playin' games with my heart
With my heart
With my heart

I should've known from the start
With my heart
With my heart
With my heart

Quit playin' games with my heart
Nanana...

Quit playin' games with my heart
With my heart
With my heart
With my heart
lyrics appended",13.6,6.4,80,95.67
5,5,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Boys Will Be Boys,04:05:00,"Ooh
Ooh
Boys will be boys
Boys will be boys

You've got something
So incredible in my eyes
My heart starts pumpin
Whenever you're around
My whole world's upside down
Baby

But I try to get closer
And you always push me away
You tell me it's much too soon
But I just can't help it
I always gotta make a play

Ooh
Ooh
Boys will be boys
(Hey)
Ooh
Ooh
Baby
Boys will be boys

All my senses
Go right into overdrive

Ooh my defenses
Are never gonna hold
Always gotta lose control

An I hear you sayin'
That you think we should wait
And I can't hold on anymore
My body's callin for you
So please don't hesitate

Ooh
Ooh
Boys will be boys
You outta know by now baby
Ooh
Ooh
Boys will be boys
Boys will be boys

I gotta do what I gotta do baby
Naaa, na na na now
Naaa, na na na now
(Go!)

And I hear you sayin'
That you think we should wait
And I can't hold on anymore
My body's callin for you
So please don't hesitate

Ooh
Ooh
Boys will be boys (boys will be boys)
Ooh
Ooh
Boys will be boys (you outta know by now baby)
Ooh
Ooh
Boys will be boys (you know I gotta do what I gotta do baby)
Ooh
Ooh
Boys will be boys (boys, boys will be boys)
Ooh
Ooh
Boys will be boys",7.5,2.6,89.8,90.45
6,6,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Just to Be Close to You,04:49:00,"This is for the lovers
Strictly for the lovers
Yeah
You got someone you wanna get close to
Then get close to this

Ooh
Ooh
Just to be close to ya

Like a flower to a tree
That's how close I want to be
To your heart
(Baby to your heart, heart)
Like the stars to the night
And daytime is to light
We'll never part
(We'll never part)

I want you to be
(I want you to be)
The only thing that I see
'Cause I believe it's our destiny

Just to be close
Just to be close
It's the only thing
That I wanna do
Ooh, just to be close (close)
Just to be close
Just to be close to you
(Closer to you)
Just to be close

So lonely is the night
Without you to hold me tight
(I wanna hold you closer)
I need ya
(Baby hold me closer, closer)

My life would mean nothing
Without the joy you bring
To Me
You know
You know
You know
There will never be
No one else for me
You are like a dream
That became reality

Just to be close
Just to be close
It's the only thing
That I wanna do
Ooh, just to be close (close)
Just to be close
Just to be close to you
(Closer to you)
Just to be close

I'm gonna give you all my love
I'm gonna give it to you
I'm gonna give it to you
All my love
I'm gonna give it to you
I'm gonna give it to you
Give you everything you need
I'm gonna give it to you
I'm gonna give it to you
Give you all you want
(To be close to you)
To be close to you
(Close to you)
Close to you

Just to be close
Just to be close
It's the only thing
That I wanna do
Ooh, just to be close (close)
Just to be close
Just to be close to you
(Closer to you)
Just to be close

I don't want to be alone
I'll never, never, never ever let you go
Just wanna be close to you
I don't want to be alone girl
I'll never, never, never ever let you got
Just to be close
There will never be
(Never be)
No one else for me
You are like a dream
That became reality

Just to be close
Just to be close
It's the only thing
That I wanna do
Ooh, just to be close (close)
Just to be close
Just to be close to you
(Closer to you)
Just to be close

I just wanna be close to you
Ooh
Ooh
I just wanna be close to you",9.8,1.6,88.6,98.38
7,7,Backstreet Boys,Studio albums,1996-05-06 00:00:00,I Wanna Be with You,04:05:00,"I wanna be with you
It's crazy but it's true
And everything I do
I wanna be with you

I'd like to know your policy
When it comes to me
I'd like to know what's in your mind
It's not easy to see
I know now what I feel
And what to do
I wanna be with you

And I'll be waiting
Until you face the truth
When the light is fading
You know what I wanna do

I wanna be with you
It's crazy but it's true
(You know it's true)
And everything I do
(Is for you baby)
I wanna be with you
(Oh with you)
Everybody say hey!
Yeah
See you once again
Yeah
Everybody swing
Yeah
Everybody
Yeah
Everybody swing

Wish you'd come and set me free
So that I can see
All the things I've left behind
What's missing in me
I'm looking for a sign
In the things you do
I wanna be with you

And I'll be waiting
Until you face the truth
When the light is fading
You know what I wanna do

I wanna be with you
It's crazy but it's true
(You know it's true)
And everything I do
(Is for you baby)
I wanna be with you
(Oh with you)
Everybody say hey!
Yeah
See you once again
Yeah
Everybody swing
Yeah
Everybody
Yeah
Everybody swing

I wanna be with you
It's crazy but it's true
And everything I do
(Oh, oh, oh)
I wanna be with you

I wanna be with you
(Yeah)
It's crazy but it's true
(Yeah)
And everything I do
I wanna be with you
I wanna be with you
(I wanna be with you)
It's crazy but it's true
(It's crazy but it's true)
And everything I do
(And everything I do)
I wanna be with you
(I wanna be with you)
Hey
And everything I do
I wanna be with you",18.6,7.5,73.9,99.08
8,8,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Every Time I Close My Eyes,03:55:00,"Everytime
I
Close my eyes
Everytime
I
Close my eyes

Listen girl
I don't know where to start
But every word I say
Comes straight from the heart
I've been so wrong
I never meant to hurt you
Oh girl
I'm sorry
Of what I put you through

Girl I'd do anything for one more chance
(One more chance)
'Cause I want you back again
(Want you back again)

'Cause every time I close my eyes
I see your face and I wonder
When you close your eyes
Do you think about me
Now that I've realized
I want you girl
And no other
Everytime I close my eyes
You're all that I see

You and I shared it all together
Each other was all we'd ever need
(All we ever need)
I thought that you would stay
With me forever
But I took for granted
The love you gave to me
I keep on trying
(Keep on trying)
Until the end
(Until the end)
Baby I need you back with me
Again

'Cause every time I close my eyes
I see your face and I wonder
When you close your eyes
Do you think about me
Now that I've realized
I want you girl
And no other
Everytime I close my eyes
You're all that I see

Girl, I'm going out of my mind
I miss you so much
I don't know what to do
(What to do)
Please say it's just a matter of time
Until I feel your touch
Until you let me come back to you

Think about you girl
Every day and night and day
I'm in love
And it feels so right
I never meant to hurt you
Or cause you pain
I was just caught up
In that lying game
But now those days are over
I've changed my ways
And now I'm counting the minutes
I'm counting the days
Until you let me come back
Until you let me start
To find a new way
To get back into your heart

Girl, I'd do anything for one more chance
(One more chance)
'Cause I want you
I want you back again
(Want you back)

'Cause every time I close my eyes
I see your face and I wonder
When you close your eyes
Do you think about me
Now that I've realized
I want you girl
And no other
Everytime I close my eyes
You're all that I see

(All I can see is you lovin' me
You're all that I need
Baby yeah
Oh
Now I realize
That every time I close my eyes
I see me holdin' and kissin' you
Baby yeah
I see your face
And I wonder
I wonder
Yeah
Oh, yeah)",12.2,5.7,82.1,97.77
9,9,Backstreet Boys,Studio albums,1996-05-06 00:00:00,Darlin',05:32:00,"Baby, can I talk to you
I know something's wrong
Things just ain't the same
But deep down inside
I know you still care
So tell me what to do
To get things back again
The way they used to be

If your words had meaning
If you really cared about me
Tell me why can't I find love in your heart
If you were my lover
Or come as a friend to me
Tell me why would you turn away from my love

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)

If your words have reasons
Then they won't turn away from me
Trying hard to hide all truth that you might say
If you listen to me girl
If you know how I'm feeling inside
Then maybe
You wouldn't shut me
Out of your life, baby

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)
(Can't you see)
All I'm asking for is a chance
To let me love you
(Can't you see)
Girl you know
With me is where you should be
And if by chance we should find
That it can be for you and I
Then girl I've tried
I've tried, oh baby

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)

Give anything for your love
Tell me how can I make you mine

Girl you should know how I feel by now
There are so many ways to love
So just open your heart
And I'll find a way

(Can't you see)
All I'm asking for is a chance
To let me love you
(Can't you see)
Girl you know
This is where you should be, ooh
And if by chance that we should find
That it can be for you and I
Then girl I've tried
I've tried, oh baby

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)

(Oh my darlin')
(I need to know)
(I just wanna know how to make things right)
Baby won't you tell me what to do to make things right
Baby won't you tell me what to do to make things right
You gotta tell me girl
You gotta let me know",6,9.4,84.7,-97.05
