,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
0,1,11,stress,stress,stress,stress,unstress,stress,stress,unstress,stress,stress,stress,missing,"['Once', 'we', 'were', 'lovers', 'Just', 'lovers', 'we', 'were', 'Oh']",1,bsb,0.0,0.0
1,8,11,stress,stress,stress,stress,stress,stress,stress,stress,missing,stress,stress,missing,"['But', 'love', 'is', 'all', 'I', 'have', 'to', 'give', '(It', 'all', 'that']",8,bsb,0.5,0.6
2,21,11,stress,stress,stress,stress,stress,stress,stress,stress,missing,stress,stress,missing,"['But', 'love', 'is', 'all', 'I', 'have', 'to', 'give', '(That', 'all', 'I']",21,bsb,0.5,0.6
3,24,11,stress,missing,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['I', 'dont', 'know', 'what', 'he', 'does', 'to', 'make', 'you', 'cry', 'But']",24,bsb,0.0,0.0
4,43,11,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,"['Hey', 'Yeah', 'yeah', 'I', 'wanna', 'know', 'Can', 'we', 'spend', 'this']",43,bsb,0.0,0.0
5,54,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,missing,"['Why', 'you', 'cant', 'be', 'any', 'other', 'way', 'any', 'other']",54,bsb,-0.125,0.375
6,55,11,stress,stress,stress,stress,stress,missing,missing,stress,stress,unstress,stress,missing,"['There', 'you', 'go', 'caught', 'you', 'crashin', 'my', 'dreams', 'again']",55,bsb,0.0,0.0
7,61,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,missing,"['Why', 'you', 'cant', 'be', 'any', 'other', 'way', 'any', 'other']",61,bsb,-0.125,0.375
8,63,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,missing,"['Why', 'you', 'cant', 'be', 'any', 'other', 'way', 'any', 'other']",63,bsb,-0.125,0.375
9,65,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,missing,"['Why', 'you', 'cant', 'be', 'any', 'other', 'way', 'any', 'other']",65,bsb,-0.125,0.375
10,72,11,stress,stress,stress,unstress,unstress,stress,stress,stress,unstress,unstress,stress,missing,"['I', 'go', 'anywhere', 'for', 'you', 'Anywhere', 'you']",72,bsb,0.0,0.0
11,98,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['It', 'not', 'that', 'I', 'cant', 'live', 'without', 'you', 'It', 'just']",98,bsb,0.13636363636363635,0.5
12,107,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['First', 'off', 'I', 'cant', 'keep', 'a', 'promise', 'Im', 'no', 'one']",107,bsb,0.25,0.3333333333333333
13,108,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,missing,"['Ooh', 'Ooh', 'Boys', 'will', 'be', 'boys', 'Boys', 'will', 'be', 'boys', 'Youve']",108,bsb,0.0,0.0
14,112,11,stress,stress,stress,stress,missing,stress,stress,stress,unstress,stress,stress,missing,"['Boys', 'will', 'be', 'boys', '(you', 'know', 'I', 'gotta', 'do', 'what']",112,bsb,0.0,0.0
15,114,11,stress,stress,stress,stress,stress,unstress,unstress,stress,unstress,stress,stress,missing,"['Your', 'words', 'are', 'a', 'symphony', 'music', 'that', 'sings']",114,bsb,0.0,0.0
16,115,11,stress,stress,unstress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['And', 'someone', 'said', 'hey', 'we', 'locking', 'the', 'door', 'no']",115,bsb,0.0,0.0
17,117,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Your', 'coat', 'on', 'the', 'chair', 'and', 'the', 'scent', 'of', 'your', 'hair']",117,bsb,0.0,0.0
18,118,11,stress,stress,stress,stress,stress,unstress,unstress,stress,unstress,stress,stress,missing,"['Your', 'words', 'are', 'a', 'symphony', 'music', 'that', 'sings']",118,bsb,0.0,0.0
