,Title,lyric
2742,"10,000 Promises",Your ten thousand promises That you gave to me
2197,"10,000 Promises",Now I see I'm just somebody Who wasted my time and money
3505,"10,000 Promises","Ten thousand promises you gave to me
"
1216,"10,000 Promises",What about your Your ten thousand promises
2960,"10,000 Promises","Your ten thousand promises That you promised me
"
4268,"10,000 Promises",Once we were lovers Just lovers we were
889,"10,000 Promises",And money What a lie
235,"10,000 Promises",Just lovers we were Oh what a lie
126,"10,000 Promises",Once we were lovers Just lovers we were
4159,"10,000 Promises","That you promised me
 Once we were lovers"
2306,"10,000 Promises",Who wasted my time and money What a lie (what a lie)
4486,"10,000 Promises","Oh, you and I What a lie"
3396,"10,000 Promises","Ten thousand more
 Ten thousand promises yeah"
3069,"10,000 Promises","That you promised me
 You say I'll take you back"
1652,"10,000 Promises","That you promised me
 Once I could handle the truth"
671,"10,000 Promises","Both you and I
 Now I see you're just somebody"
10263,"10,000 Promises",17
344,"10,000 Promises",Oh what a lie Once we were dreamers
453,"10,000 Promises",Once we were dreamers Just dreamers we were
3614,"10,000 Promises","Ten thousand promises you gave to me
 What about your"
1107,"10,000 Promises","You and I
 What about your"
10917,"10,000 Promises",24.1
2524,"10,000 Promises","You and I (you and I)
 What about your"
1870,"10,000 Promises",But time after time all the promises
1434,"10,000 Promises",That you gave to me Your ten thousand promises
4050,"10,000 Promises","Your ten thousand promises That you promised me
"
11244,"10,000 Promises",99.11
998,"10,000 Promises","What a lie You and I
"
3178,"10,000 Promises","But I closed the door
'Cause I don't want"
3941,"10,000 Promises",That you gave to me Your ten thousand promises
3287,"10,000 Promises","But I closed the door
'Cause I don't want Ten thousand more
"
2851,"10,000 Promises",That you gave to me Your ten thousand promises
780,"10,000 Promises",Now I see you're just somebody Who wastes all my time
562,"10,000 Promises","Just dreamers we were Both you and I
"
17,"10,000 Promises", Once we were lovers
11026,"10,000 Promises",4.2
10372,"10,000 Promises",Backstreet's Back
1543,"10,000 Promises","Your ten thousand promises That you promised me
"
3832,"10,000 Promises",Your ten thousand promises That you gave to me
10154,"10,000 Promises",17
4377,"10,000 Promises","Just lovers we were Oh, you and I"
2088,"10,000 Promises",Now... Now I see I'm just somebody
